qi,uf,u_new,P,res
22.852258647999726,22.928345623732664,22.907848089314836,11.167135217978263,0.005530036283598643
22.907848089314836,22.986137062049757,22.96475514049791,11.355679908949272,0.005630611940972883
22.96475514049791,23.045363427030047,23.02304087158699,11.521581516546561,0.005735083251476572
23.02304087158699,23.106093611194414,23.08276967688348,11.716581660248442,0.005844167499193504
23.08276967688348,23.168402518447856,23.144011168173623,11.905090991464725,0.005958202385088884
23.144011168173623,23.232370492065606,23.206840816940467,12.08946585112424,0.006077099413656677
23.206840816940467,23.2980827670325,23.271336355136015,12.29963318316679,0.006201145481920741
23.271336355136015,23.36563338370244,23.337587194028814,12.497479675544533,0.006331151615994217
23.337587194028814,23.435119080565205,23.405679740239737,12.714232462034964,0.0064667637500861385
23.405679740239737,23.506648404990592,23.47571652937509,12.9702813931729,0.006609182579209353
23.47571652937509,23.58033613762723,23.547801862333987,13.195872750722318,0.006757942466091972
23.547801862333987,23.65630425877924,23.622047301018117,13.439266672145012,0.006913795855436283
23.622047301018117,23.734689131008132,23.698578756024755,13.700254494372102,0.007077708414692742
23.698578756024755,23.815635920016835,23.777526037740557,13.960401656000062,0.007249573291137377
23.777526037740557,23.899300156690067,23.859030531986395,14.278035449556592,0.007429847449826449
23.859030531986395,23.985855858914036,23.943253055309345,14.560714616146795,0.007619480640411043
23.943253055309345,24.07548810346365,24.030356383494194,14.866692222441204,0.007818846218267058
24.030356383494194,24.168402394256223,24.12052660389388,15.191544175028787,0.00802944413411248
24.12052660389388,24.264821772947652,24.213960974789778,15.524135109693312,0.00825117859434512
24.213960974789778,24.36498811354003,24.31087480187951,15.917942231110032,0.00848497954782241
24.31087480187951,24.46917474956616,24.411512920325364,16.284009598531462,0.0087322553979982
24.411512920325364,24.57767587634632,24.516130759730956,16.679182012404027,0.008993882987675929
24.516130759730956,24.69082079678068,24.625014996295654,17.147123690996736,0.009271900966385322
24.625014996295654,24.808969877535795,24.73848306175364,17.581407815021972,0.009566380336416044
24.73848306175364,24.932527443994893,24.856881720816855,18.054198983590698,0.009879838332351305
24.856881720816855,25.061947361379755,24.980601262262553,18.541908349069388,0.010214426796892263
24.980601262262553,25.197727902850396,25.110064064844636,19.09560680452518,0.01057139836216927
25.110064064844636,25.340438022697846,25.24575590449359,19.651102164034192,0.010954417559635877
25.24575590449359,25.490709061081347,25.38820104863217,20.32066366778569,0.011364979292976219
25.38820104863217,25.649264601801587,25.53800927559464,20.954748333029556,0.011807559475278952
25.53800927559464,25.81691580338106,25.69584445213374,21.653023928321574,0.012284771178458331
25.69584445213374,25.994594923988828,25.862470346185404,22.388087316115012,0.012802359744101006
25.862470346185404,26.183357817247238,26.038740646992395,23.227902709948218,0.013363740129885861
26.038740646992395,26.384431441325898,26.225641726811073,24.08335851337267,0.013976164282122379
26.225641726811073,26.599214889514684,26.424275794986617,25.08936638766952,0.01464548254036767
26.424275794986617,26.829345500762592,26.635930211972568,26.095122984109253,0.01538054280578249
26.635930211972568,27.076717689330067,26.862063386522923,27.216114858730876,0.016190236936490385
