,,,,,,,,,,,,,,,,
Sl.,Total Cores,Core's Availability Factor,Cores Available,Nodes Processable by Cores,sl. Nd,Total Processable Nodes,Bubble Percentage,sl. Vbt,Total Volume of Bubble,Nodes Across dia of Bubble,Number of Bubbles,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Nc,av,Na,no,,Nd,vf,,VbT,nd,nbb,,,,,
105,,,,,,,,,,30,"959,391",,,,,
106,,,,,,,0.08,36,2.71E+10,10,"51,807,138",,,,,
107,,,,,,,,,,20,"6,475,892",,,,,
108,,,,,,,,,,30,"1,918,783",,,,,
109,,1,"8,730,112","2,048",13,1.79E+10,0.02,37,3.58E+08,10,"682,938",,,,,
110,,,,,,,,,,20,"85,367",,,,,
111,,,,,,,,,,30,"25,294",,,,,
112,,,,,,,0.04,38,7.15E+08,10,"1,365,876",,,,,
113,,,,,,,,,,20,"170,734",,,,,
114,,,,,,,,,,30,"50,588",,,,,
115,,,,,,,0.08,39,1.43E+09,10,"2,731,751",,,,,
116,,,,,,,,,,20,"341,469",,,,,
117,,,,,,,,,,30,"101,176",,,,,
118,,,,"4,096",14,3.58E+10,0.02,40,7.15E+08,10,"1,365,876",,,,,
119,,,,,,,,,,20,"170,734",,,,,
120,,,,,,,,,,30,"50,588",,,,,
121,,,,,,,0.04,41,1.43E+09,10,"2,731,751",,,,,
122,,,,,,,,,,20,"341,469",,,,,
123,,,,,,,,,,30,"101,176",,,,,
124,,,,,,,0.08,42,2.86E+09,10,"5,463,502",,,,,
125,,,,,,,,,,20,"682,938",,,,,
126,,,,,,,,,,30,"202,352",,,,,
127,,,,"8,192",15,7.15E+10,0.02,43,1.43E+09,10,"2,731,751",,,,,
128,,,,,,,,,,20,"341,469",,,,,
129,,,,,,,,,,30,"101,176",,,,,
130,,,,,,,0.04,44,2.86E+09,10,"5,463,502",,,,,
131,,,,,,,,,,20,"682,938",,,,,
132,,,,,,,,,,30,"202,352",,,,,
133,,,,,,,0.08,45,5.72E+09,10,"10,927,005",,,,,
134,,,,,,,,,,20,"1,365,876",,,,,
135,,,,,,,,,,30,"404,704",,,,,
136,,,,(repeat),16,3.39E+11,0.02,46,6.78E+09,10,"12,951,784",,,,,
137,,,,,,,,,,20,"1,618,973",,,,,
138,,,,,,,,,,30,"479,696",,,,,
139,,,,,,,0.04,47,1.36E+10,10,"25,903,569",,,,,
140,,,,,,,,,,20,"3,237,946",,,,,
141,,,,,,,,,,30,"959,391",,,,,
142,,,,,,,0.08,48,2.71E+10,10,"51,807,138",,,,,
143,,,,,,,,,,20,"6,475,892",,,,,
144, ,,,,,,,,,30,"1,918,783", ,,,,
